지역,정책수,일자리문제관련정책수,평균키워드대응점수,평균문제대응개수,신청가능비율,신청URL보유비율,신청방법보유비율,일자리문제관련정책비율,정보접근성비율,분류개수,분류다양성점수,정책수점수,관련정책비율점수,키워드대응도점수,신청가능성점수,정보접근성점수,정책공급종합점수,정책대응부족도,정책대응부족분야,정책공급수준,해석
충남,707,677,89.01920792079203,2.2602545968882604,0.6619519094766619,0.3338048090523338,0.6138613861386139,0.9575671852899575,0.4738330975954738,6,100.0,100.0,0.0,0.0,100.0,22.88376678635148,46.14,53.86,"고용기회, 임금소득",보통,"충남은 정책공급종합점수 46.1점으로 '보통' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
전북,534,519,90.60280898876395,2.402621722846442,0.5730337078651685,0.3576779026217228,0.5936329588014981,0.9719101123595506,0.4756554307116105,6,100.0,34.3661286182674,48.70958245424679,36.81257382584619,52.175105610600646,24.298166244716604,46.4,53.6,"고용기회, 임금소득",보통,"전북은 정책공급종합점수 46.4점으로 '보통' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
전남,535,520,91.16409345794384,2.446728971962617,0.5551401869158878,0.3626168224299065,0.6056074766355141,0.97196261682243,0.4841121495327103,6,100.0,34.80358590439643,48.88789127861898,49.8602575997953,42.551027141347866,30.86182818675901,49.19,50.81,"고용기회, 임금소득",보통,"전남은 정책공급종합점수 49.2점으로 '보통' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
강원,489,477,92.0060531697341,2.507157464212679,0.5214723926380368,0.4233128834355828,0.6646216768916156,0.9754601226993864,0.5439672801635992,6,100.0,13.78387601525234,60.76566560398653,69.43255056898413,24.44271324744513,77.31824364398334,52.31,47.69,"임금소득, 고용기회",보통,"강원은 정책공급종합점수 52.3점으로 '보통' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
서울,461,453,93.07837310195224,2.6052060737527114,0.527114967462039,0.4360086767895879,0.6095444685466378,0.982646420824295,0.5227765726681128,6,100.0,0.0,85.17083613560793,94.35982390068304,27.477587324422736,60.87112706656501,60.67,39.33,"고용기회, 임금소득",보통 이상,"서울은 정책공급종합점수 60.7점으로 '보통 이상' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
경기,515,505,92.02132038834948,2.466019417475728,0.5786407766990291,0.4310679611650485,0.6330097087378641,0.9805825242718448,0.5320388349514563,6,100.0,25.895352531452087,78.16169924110746,69.78745410104172,55.19088269508473,68.0600096263957,62.38,37.62,"임금소득, 고용기회",보통 이상,"경기은 정책공급종합점수 62.4점으로 '보통 이상' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
충북,498,488,92.99022088353408,2.560240963855421,0.5080321285140562,0.429718875502008,0.6726907630522089,0.9799196787148594,0.5512048192771084,6,100.0,18.047542301986557,75.91062941723217,92.31062722226324,17.21383096411385,82.93564219279847,62.44,37.56,"임금소득, 고용기회",보통 이상,"충북은 정책공급종합점수 62.4점으로 '보통 이상' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
경남,584,572,92.652654109589,2.547945205479452,0.476027397260274,0.3493150684931507,0.5393835616438356,0.9794520547945206,0.4443493150684932,6,100.0,55.29596070874341,74.32254591134786,84.46351090090258,0.0,0.0,63.52,36.48,"고용기회, 임금소득",보통 이상,"경남은 정책공급종합점수 63.5점으로 '보통 이상' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
제주,608,596,92.49412828947366,2.5098684210526314,0.5608552631578947,0.4868421052631579,0.6595394736842105,0.9802631578947368,0.5731907894736842,6,100.0,64.71464876663566,77.07710871064124,80.778401327333,45.624896301405336,100.0,75.21,24.79,"고용기회, 임금소득",높음,"제주은 정책공급종합점수 75.2점으로 '높음' 수준이며, 보완 필요 분야는 고용기회, 임금소득로 나타남."
경북,539,532,93.32100185528752,2.625231910946197,0.5695732838589982,0.3877551020408163,0.5899814471243042,0.987012987012987,0.4888682745825602,6,100.0,36.54529138970128,100.0,100.0,50.313907232334685,34.55328318741549,75.9,24.1,"임금소득, 고용기회",높음,"경북은 정책공급종합점수 75.9점으로 '높음' 수준이며, 보완 필요 분야는 임금소득, 고용기회로 나타남."
